Province/State,Country/Region,Lat,Long,1/22/20,2/22/20,3/22/20,4/22/20,5/22/20,6/22/20,7/22/20,8/22/20,9/22/20,10/22/20,11/22/20,12/22/20,1/22/21,2/22/21,3/22/21,4/22/21,5/22/21,6/22/21,7/22/21,8/22/21,9/22/21,10/22/21,11/12/21
Repatriated Travellers,Canada,,,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13
Saskatchewan,Canada,52.9399,-106.4509,0,0,52,326,627,751,1030,1597,1824,2558,6473,13942,21643,27797,31842,39137,45490,48505,49556,52472,63415,75842,79334
Yukon,Canada,64.2823,-135,0,0,0,11,11,11,13,15,15,17,32,59,70,72,72,80,84,220,542,674,736,877,1153
,Canada,47.25704,-80.17319333,0,9,2045,43641,84814,103313,113836,126421,149351,212541,335038,528307,743384,853901,943715,1164756,1364195,1418135,1432606,1476010,1597789,1704019,1753722
,Central African Republic,6.6111,20.9394,0,0,3,14,479,2963,4574,4679,4802,4862,4911,4936,4974,5001,5087,6175,7010,7137,7147,11251,11340,11518,11666
,Chad,15.4542,18.7322,0,0,1,33,611,858,889,982,1155,1410,1642,1916,3104,3868,4427,4735,4923,4948,4965,4985,5030,5069,5107
,Chile,-35.6751,-71.543,0,0,687,12164,70445,246963,336402,395708,448523,497131,540640,589189,690066,803009,938094,1148320,1323413,1525933,1604713,1633816,1648550,1678023,1721025
Anhui,China,31.8257,117.2264,1,989,990,991,991,991,991,991,991,991,992,992,994,994,994,994,1002,1004,1008,1008,1008,1008,1008
Beijing,China,40.1824,116.4142,14,399,522,593,593,843,929,935,935,938,950,961,1023,1047,1049,1057,1058,1075,1085,1115,1119,1136,1185
Chongqing,China,30.0572,107.874,6,573,577,579,579,582,583,583,584,589,590,590,591,591,591,593,598,598,601,603,603,603,610
Fujian,China,26.0789,117.9874,1,293,313,355,356,363,364,372,396,427,474,507,534,549,559,586,612,660,711,780,1248,1298,1316
Gansu,China,35.7518,104.2861,0,91,136,139,139,158,167,169,170,170,181,182,182,187,190,193,193,194,197,199,199,235,344
Guangdong,China,23.3417,113.4244,26,1339,1413,1582,1591,1634,1662,1727,1807,1895,1979,2035,2099,2196,2257,2327,2409,2709,2834,3012,3149,3210,3252
Guangxi,China,23.8298,108.7881,2,249,254,254,254,254,255,255,258,260,263,264,267,267,267,270,275,275,277,289,297,325,361
Guizhou,China,26.8154,106.8748,1,146,146,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,149,159
Hainan,China,19.1959,109.7453,4,168,168,168,169,171,171,171,171,171,171,171,171,171,171,187,188,188,188,190,190,190,190
Hebei,China,39.549,116.1306,1,309,319,328,328,346,349,359,365,368,373,373,1264,1317,1317,1317,1317,1317,1317,1317,1317,1318,1449
Heilongjiang,China,47.862,127.7615,0,479,484,921,945,947,947,948,948,948,949,961,1330,1610,1610,1610,1611,1612,1612,1614,1629,1712,1986
Henan,China,37.8957,114.9042,5,1270,1274,1276,1276,1276,1276,1276,1280,1283,1288,1297,1303,1304,1309,1312,1314,1317,1326,1523,1539,1553,1629
Hong Kong,China,22.3,114.2,0,69,317,1033,1065,1161,2131,4657,5046,5280,5628,8300,9928,10884,11397,11718,11830,11896,11971,12057,12167,12313,12378
Hubei,China,30.9756,112.2707,444,64084,67800,68128,68135,68135,68135,68139,68139,68139,68148,68149,68150,68151,68151,68157,68159,68160,68193,68289,68297,68305,68311
Hunan,China,27.6104,111.7088,4,1013,1018,1019,1019,1019,1019,1019,1019,1019,1020,1020,1027,1036,1039,1044,1049,1051,1069,1181,1181,1194,1197
Inner Mongolia,China,44.0935,113.9448,0,75,75,194,217,238,250,260,263,275,310,352,366,367,370,379,384,394,399,412,416,457,618
Jiangsu,China,32.9711,119.455,1,631,633,653,653,654,655,665,665,670,677,684,690,703,708,716,722,742,776,1584,1595,1600,1603
Jiangxi,China,27.614,115.7221,2,934,936,937,937,932,932,935,935,935,935,935,935,935,936,937,937,937,937,937,937,937,957
Jilin,China,43.6661,126.1923,0,91,93,106,154,155,155,157,157,157,157,157,351,573,573,573,573,573,573,574,574,577,581
Liaoning,China,41.2956,122.6085,2,121,127,146,149,154,165,261,265,280,289,295,396,406,407,408,425,426,431,443,451,465,646
Macau,China,22.1667,113.55,1,10,24,45,45,45,46,46,46,46,46,46,47,48,48,49,50,53,56,63,63,77,77
Ningxia,China,37.2692,106.1655,1,71,75,75,75,75,75,75,75,75,75,75,75,75,75,75,76,76,76,77,77,88,122
Qinghai,China,35.7452,95.9956,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,30
Shaanxi,China,35.1917,108.8701,0,245,248,279,308,317,323,362,401,438,493,504,533,547,564,587,609,624,655,668,671,694,701
Shandong,China,36.3427,118.1498,2,750,767,787,788,792,798,830,832,845,849,861,866,867,869,876,883,883,883,923,930,965,993
Shanghai,China,31.202,121.4491,9,335,404,639,667,701,738,875,975,1114,1308,1473,1635,1783,1856,1955,2066,2190,2281,2436,2575,2700,2782
Shanxi,China,37.5777,112.2922,1,132,133,197,198,198,201,201,203,209,220,224,235,240,241,249,251,253,253,256,260,260,263
Sichuan,China,30.6171,102.7103,5,526,543,561,563,589,603,628,675,733,797,843,866,887,938,967,1012,1076,1134,1183,1207,1220,1256
Tianjin,China,39.3054,117.323,4,135,137,189,192,198,203,218,239,256,298,304,335,352,370,383,390,399,416,462,484,501,513
Tibet,China,31.6927,88.0924,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Unknown,China,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xinjiang,China,41.1129,85.2401,0,76,76,76,76,76,158,902,902,902,980,980,980,980,980,980,980,980,980,980,980,981,981
Yunnan,China,24.974,101.487,1,174,176,184,185,185,189,195,209,211,217,227,231,231,235,337,352,391,691,1010,1349,1557,1631
Zhejiang,China,29.1832,120.0934,10,1205,1238,1268,1268,1269,1270,1277,1282,1283,1293,1300,1316,1320,1323,1331,1362,1383,1393,1421,1446,1457,1499
,China,32.88764545,111.7859909,548,77001,81435,83868,84081,84624,85906,89654,90399,91073,92116,95228,98886,100784,101560,102333,102853,103602,104489,106772,108124,109105,110629
,Colombia,4.5709,-74.2973,0,0,231,4356,19131,71183,218428,533103,777537,990373,1248417,1530593,1987418,2229663,2342278,2720619,3210787,3997021,4692570,4889537,4945203,4988021,5026822
,Comoros,-11.6455,43.3333,0,0,0,0,78,247,337,417,470,517,596,693,2160,3518,3666,3824,3870,3912,4014,4050,4110,4200,4363
,Congo (Brazzaville),-0.228,15.8277,0,0,3,186,469,1087,2851,3850,5002,5156,5632,6571,7794,8625,9564,10084,11476,12404,13050,13398,14014,16408,18153
,Congo (Kinshasa),-4.0383,21.7587,0,0,30,359,1945,5924,8626,9811,10523,11097,12180,15810,21597,25144,27572,29350,30863,38330,47174,54009,56463,57432,57729
,Costa Rica,9.7489,-83.7534,0,0,134,681,911,2277,12361,33084,66689,100616,129418,160804,189308,202674,211903,235274,299219,355620,397469,440647,515931,555970,564159
,Cote d'Ivoire,7.54,-5.5471,0,0,14,952,2341,7677,14733,17374,19343,20390,21138,21942,26315,32039,40601,45715,46942,48058,49386,53645,59408,61152,61486
,Croatia,45.1,15.2,0,0,254,1950,2243,2336,4530,7900,15136,29850,103718,197323,227969,240017,257789,316308,353735,359259,362129,369765,395097,439447,528286
,Cuba,21.521757,-77.781167,0,0,35,1189,1916,2315,2462,3617,5222,6421,7846,10384,20060,45361,67476,97967,131832,170854,308599,583299,825351,943038,958097
,Cyprus,35.1264,33.4299,0,0,84,784,923,986,1040,1406,1603,2966,8456,18004,30093,33771,42893,59834,72821,74831,95768,112862,119230,122996,127036
