Province/State,Country/Region,Lat,Long,1/22/20,2/22/20,3/22/20,4/22/20,5/22/20,6/22/20,7/22/20,8/22/20,9/22/20,10/22/20,11/22/20,12/22/20,1/22/21,2/22/21,3/22/21,4/22/21,5/22/21,6/22/21,7/22/21,8/22/21,9/22/21,10/22/21,11/22/21
,Rwanda,-1.9403,29.8739,0,0,0,84,222,370,867,1754,2991,4803,5164,6163,8184,16992,19214,22649,24967,26712,43924,43924,43924,43924,43924
,Saint Kitts and Nevis,17.357822,-62.782998,0,0,0,1,15,15,15,17,17,19,19,25,33,39,42,44,45,85,519,519,519,519,519
,Saint Lucia,13.9094,-60.9789,0,0,0,15,18,18,19,25,26,27,60,263,412,2675,3950,4290,4617,5075,5304,5304,5304,5304,5304
,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,0,3,14,26,37,56,64,64,78,85,126,803,1521,1703,1827,1941,2199,2199,2199,2199,2199
,Samoa,-13.759,-172.1046,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,3,3,3
,San Marino,43.9424,12.4578,0,0,4,62,254,627,656,657,669,711,1082,1825,2597,3115,3819,4822,4974,4999,5002,5002,5002,5002,5002
,Sao Tome and Principe,0.1864,6.6131,0,0,0,0,4,203,601,831,880,898,923,958,996,1257,1988,2227,2283,2315,2340,2340,2340,2340,2340
,Saudi Arabia,23.885942,45.079162,0,0,16,1812,39003,105175,210398,278441,312684,330181,343371,352249,357525,366412,374799,392448,423795,458048,495650,495650,495650,495650,495650
,Senegal,14.4974,-14.4524,0,0,5,253,1311,3953,6108,8165,11621,14026,15488,16592,20089,27428,34892,38719,39738,40963,44354,44354,44354,44354,44354
,Serbia,44.0165,21.0059,0,0,1,1025,5541,11997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Seychelles,-4.6796,55.492,0,0,0,5,11,11,27,126,136,148,159,184,681,1940,3157,4675,7826,13323,16889,16889,16889,16889,16889
,Sierra Leone,8.460555,-11.779889,0,0,0,6,230,788,1288,1545,1652,1777,1828,1860,2166,2609,2790,2914,3113,3279,4201,4201,4201,4201,4201
,Singapore,1.2833,103.8333,0,37,144,896,12995,35590,44795,53920,57262,57829,58067,58304,58983,59746,60051,60603,61277,62098,62576,62576,62576,62576,62576
,Slovakia,48.669,19.699,0,0,7,284,1256,1447,1556,2147,3668,8763,45883,110565,183942,255300,255300,255300,255300,255300,255300,255300,255300,255300,255300
,Slovenia,46.1512,14.9955,0,0,0,205,1340,1376,1648,2079,3048,7299,44137,87960,133428,170198,191706,219232,241448,251243,253200,253200,253200,253200,253200
,Solomon Islands,-9.6457,160.1562,0,0,0,0,0,0,0,0,0,3,5,5,10,14,16,18,20,20,20,20,20,20,20
